customer_name,customer_branch,file_name,order_quantity
MetalForm SA,Frankfurt Branch,Geo (1).DXF,4900
PrecisionCut GmbH,Stuttgart Branch,Geo (10).DXF,6964
PrecisionCut GmbH,Stuttgart Branch,Geo (11).DXF,4107
MetalForm SA,Frankfurt Branch,Geo (12).DXF,5695
AutoParts AG,Berlin Branch,Geo (13).DXF,8027
AutoParts AG,Berlin Branch,Geo (14).DXF,7719
MetalForm SA,Frankfurt Branch,Geo (15).DXF,4404
MetalForm SA,Frankfurt Branch,Geo (16).DXF,5894
PrecisionCut GmbH,Stuttgart Branch,Geo (17).DXF,5279
AutoParts AG,Berlin Branch,Geo (18).DXF,7933
MetalForm SA,Frankfurt Branch,Geo (19).DXF,3964
PrecisionCut GmbH,Stuttgart Branch,Geo (2).DXF,5982
AutoParts AG,Berlin Branch,Geo (20).DXF,8459
AutoParts AG,Munich Branch,Geo (21).DXF,7277
AutoParts AG,Berlin Branch,Geo (22).DXF,8837
AutoParts AG,Munich Branch,Geo (23).DXF,9772
TechFab Industries,Hamburg Branch,Geo (24).DXF,2408
PrecisionCut GmbH,Stuttgart Branch,Geo (25).DXF,4967
TechFab Industries,Hamburg Branch,Geo (26).DXF,2187
AutoParts AG,Munich Branch,Geo (27).DXF,7980
MetalForm SA,Frankfurt Branch,Geo (28).DXF,3685
MetalForm SA,Frankfurt Branch,Geo (29).DXF,3993
AutoParts AG,Munich Branch,Geo (3).DXF,7775
MetalForm SA,Frankfurt Branch,Geo (30).DXF,4449
AutoParts AG,Berlin Branch,Geo (31).DXF,9336
AutoParts AG,Munich Branch,Geo (33).DXF,7879
PrecisionCut GmbH,Stuttgart Branch,Geo (35).DXF,6287
AutoParts AG,Munich Branch,Geo (36).DXF,8048
MetalForm SA,Frankfurt Branch,Geo (37).DXF,3604
AutoParts AG,Munich Branch,Geo (38).DXF,9744
MetalForm SA,Frankfurt Branch,Geo (39).DXF,6168
MetalForm SA,Frankfurt Branch,Geo (4).DXF,3187
AutoParts AG,Munich Branch,Geo (40).DXF,7988
PrecisionCut GmbH,Stuttgart Branch,Geo (41).DXF,6761
AutoParts AG,Berlin Branch,Geo (42).DXF,9248
AutoParts AG,Berlin Branch,Geo (43).DXF,8030
AutoParts AG,Munich Branch,Geo (44).DXF,7957
AutoParts AG,Berlin Branch,Geo (45).DXF,8098
AutoParts AG,Berlin Branch,Geo (46).DXF,9555
PrecisionCut GmbH,Stuttgart Branch,Geo (47).DXF,4977
AutoParts AG,Munich Branch,Geo (48).DXF,7569
AutoParts AG,Munich Branch,Geo (49).DXF,7749
PrecisionCut GmbH,Stuttgart Branch,Geo (50).DXF,5734
AutoParts AG,Berlin Branch,Geo (51).DXF,7894
AutoParts AG,Munich Branch,Geo (52).DXF,8380
AutoPart AG,Berlin Branch,Geo (53).DXF,9628
TechFab Industries,Hamburg Branch,Geo (54).DXF,4404
AutoPart AG,Munich Branch,Geo (55).DXF,7709
AutoParts AG,Berlin Branch,Geo (56).DXF,8540
AutoParts AG,Munich Branch,Geo (57).DXF,9808
AutoParts AG,Berlin Branch,Geo (58).DXF,7930
PrecisionCut GmbH,Stuttgart Branch,Geo (59).DXF,4009
AutoParts AG,Munich Branch,Geo (6).DXF,8240
PrecisionCut GmbH,Stuttgart Branch,Geo (60).DXF,7331
PrecisionCut GmbH,Stuttgart Branch,Geo (61).DXF,5658
MetalForm SA,Frankfurt Branch,Geo (62).DXF,5988
AutoParts AG,Berlin Branch,Geo (63).DXF,8655
PrecisionCut GmbH,Stuttgart Branch,Geo (64).DXF,7524
AutoPart AG,Munich Branch,Geo (65).DXF,9043
MetalForm SA,Frankfurt Branch,Geo (67).DXF,4147
AutoParts AG,Berlin Branch,Geo (68).DXF,9592
AutoParts AG,Berlin Branch,Geo (69).DXF,9023
PrecisionCut GmbH,Stuttgart Branch,Geo (7).DXF,7891
PrecisionCut GmbH,Stuttgart Branch,Geo (70).DXF,6917
AutoParts AG,Munich Branch,Geo (71).DXF,7015
MetalForm SA,Frankfurt Branch,Geo (72).DXF,4197
AutoParts AG,Munich Branch,Geo (73).DXF,8490
AutoParts AG,Berlin Branch,Geo (74).DXF,9523
AutoParts AG,Munich Branch,Geo (75).DXF,8930
PrecisionCut GmbH,Stuttgart Branch,Geo (76).DXF,6965
MetalForm SA,Frankfurt Branch,Geo (78).DXF,4596
AutoParts AG,Munich Branch,Geo (79).DXF,8556
AutoPart AG,Berlin Branch,Geo (8).DXF,8843
PrecisionCut GmbH,Stuttgart Branch,Geo (80).DXF,4993
AutoParts AG,Munich Branch,Geo (9).DXF,8520
AutoParts AG,Munich Branch,Geo (21).DXF,7277
AutoParts AG,Munich Branch,Geo (73).DXF,8490
AutoParts AG,Munich Branch,Geo (49).DXF,7749
AutoParts AG,Munich Branch,Geo (40).DXF,7988
AutoPart AG,Munich Branch,Geo (3).DXF,7775
